Application Name,Type,Application ID,Client Token
IOS220-01-The-Authenticator-App,ios,48031503-84a4-4b7e-b5b1-40a45ca3fca9,pub38548a45ced81f9716f97f8e3c1f8de3
IOS227-01-Wallpapers-for-Dynamic-Island,ios,e308a431-fee0-4566-8b41-f79b38a29369,pubd01d162318335e6a17f462e1f1381cf7
IOS229-01-Lens,ios,98dea1b0-c00e-4e17-ab29-1dcf4ee8f72d,pub3617546757b4f7d4173963d8c284ac0d
IOS232-01-AI-Video-Photo-Generator,ios,b657f447-0bba-444d-b4b4-e5a43b25a6c8,pub9e569308e22fac7f563a67406e9d89c7
IOS238-01-AI-Keyboard-Assistant,ios,deb2365c-d743-45c7-90e3-50713041a683,pub308226023b03bd9e4a99b4fcb6f09e3b
IOS256-01-Spelling,ios,de9ac5a2-95ef-41d5-922f-7a67841d5e06,pub0af2e76302151e883a81c7d4bef3db3f
IOS259-01-GoatChat,ios,1123f5ee-4fc1-4367-a881-20ac35a23ffe,pub0e0dc89479945110ecbcad0cdffb35c2
IOS260-01-Song-Finder-Music-Identifier,ios,0b36508f-4993-4b8c-96ef-b52c4e730a62,pubf9c31b672e4e373c584049f11d71aabe
IOS262-01-Boost-App-Social,ios,ae3b19c2-608e-4eb7-828b-58fc3b7e2197,pubb8dc90032c30ff7dfa6100ff8e56640a
IOS264-01-Authy,ios,100eb546-4427-4641-a117-d7d4319c7d1b,puba188a7e2ac804293f55e364c3c8e6da8
IOS265-01-must.fm-for-Spotify-Stats,ios,bac1c0a3-d54a-425d-a8e6-489c3c822956,puba8841962a358c50c5a901c95e273dfd2
IOS266-01-Plant-Identifier,ios,ce7be7ce-274d-453d-9253-eb9a3aca890c,pub66e30bf1c51baf9c13386a866a6d8a81
IOS267-01-Noteflow,ios,685eea62-d93e-4756-a6fc-217d33cf97bb,pub0ac38d474145e0c3c4e72a054fe8f3ac
IOS268-01-PDF-Scanner,ios,8374166d-ad98-49ae-8b50-4b56366b47cf,pub5db9aeb4824c44aa96b785841599ecf2
IOS269-01-Feelsy,ios,ae855ee3-f7f1-4e9c-aa6e-c8eb76492a3d,pubb1f89889c43d631b9ee64a8c8f9f3e7b
IOS270-01-Pregnancy-Diet,ios,e134f040-7442-4c6e-b352-7ae9ced300e4,pub74c1682912e1bc70adf649669004db85
IOS271-01-AI-Boostï¼-AI-Image-Editor,ios,d2f9b84a-d9d7-442d-9ad8-469e82260c28,pub2049b306ab7c65fa87d38d9676420fa5
IOS282-01-Spoten-Phone-Location-Tracker,ios,e88aae83-3aeb-4559-a863-c2961bb87bc7,puba726a873f4e398f4f547e5c5190373f6
IOS283-01-DietAI,ios,f55d9575-aa21-439f-af46-aa154e3fee8d,pubea5ca309f51445fe1f795b6a15e72b0b
IOS288-01-Good-Fonts,ios,aed891b6-8027-4ed0-a33a-3ae011b0ee55,pube41f4de3816677d95d825cca64d9f920
IOS289-01-aesthetic-kit,ios,2cc53370-f2b6-42b7-83d9-558058743806,pub57cb9abc1afb6b326607097b9efb7304
IOS290-01-Boost-Cleaner,ios,8322a5aa-239a-4b0e-86c8-dabc09262ff3,pub0c9922c0498a07e8a9d409ec0bfc37c1
IOS291-01-Lockdown-Privacy,ios,e1a41991-47fa-4611-883e-3893b33d427e,pub657764b3babc7c693e48049cf6d93922
IOS295-01-Menu-Maker,ios,e0abe364-3bc2-47c8-a708-0aeae64261d2,pub41ac6178a6bf45ada7b58334716f3222
IOS296-01-Moggr,ios,1548826b-a2dd-4276-a063-00dccae82360,pubc0f3704d3b0ff9bdf1b301801a90f4a6
IOS297-01-Volmix,ios,c923b0d7-11bf-4d5d-964d-dde68ee7a38a,pubaeb0ed6d63ccde83e9a27652d255e5a2
IOS298-01-Translate-AI-Pocket-Translator,ios,3885c367-2416-49b2-9669-4b0676f1f0fa,pubd9a2cec3ebd253ff717d6f8ceb8a7aaf
IOS299-01-Dialog,ios,6b6d834e-c2a3-4148-8da4-5e2f08f31ebf,puba65a4297e4b7cf05bf0102493160c0b9
